# Pristine release binary, pinned to CPU 0. Host idle gate could not pass.
# phase	run	mode	loadavg1	variant	milliseconds
before	1	default	7.85	arith	1711
before	1	default	7.85	elem	2754
before	1	default	7.85	called	1896
before	1	default	7.85	mixed	2392
before	1	bytecode	8.34	arith	1540
before	1	bytecode	8.34	elem	1644
before	1	bytecode	8.34	called	2825
before	1	bytecode	8.34	mixed	2397
before	2	default	10.20	arith	936
before	2	default	10.20	elem	1545
before	2	default	10.20	called	1438
before	2	default	10.20	mixed	2076
before	2	bytecode	10.02	arith	710
before	2	bytecode	10.02	elem	1470
before	2	bytecode	10.02	called	1215
before	2	bytecode	10.02	mixed	2033
before	3	default	9.86	arith	968
before	3	default	9.86	elem	1510
before	3	default	9.86	called	1426
before	3	default	9.86	mixed	2033
before	3	bytecode	9.47	arith	703
before	3	bytecode	9.47	elem	1293
before	3	bytecode	9.47	called	1218
before	3	bytecode	9.47	mixed	1868
before	4	default	8.40	arith	1027
before	4	default	8.40	elem	1775
before	4	default	8.40	called	1469
before	4	default	8.40	mixed	2042
before	4	bytecode	7.87	arith	690
before	4	bytecode	7.87	elem	1262
before	4	bytecode	7.87	called	1182
before	4	bytecode	7.87	mixed	1875
before	5	default	7.64	arith	958
before	5	default	7.64	elem	1519
before	5	default	7.64	called	1434
before	5	default	7.64	mixed	2086
before	5	bytecode	7.43	arith	705
before	5	bytecode	7.43	elem	1379
before	5	bytecode	7.43	called	1196
before	5	bytecode	7.43	mixed	1968
before	6	default	7.15	arith	925
before	6	default	7.15	elem	1506
before	6	default	7.15	called	1424
before	6	default	7.15	mixed	2065
before	6	bytecode	7.06	arith	686
before	6	bytecode	7.06	elem	1272
before	6	bytecode	7.06	called	1184
before	6	bytecode	7.06	mixed	1865
before	7	default	6.82	arith	991
before	7	default	6.82	elem	1511
before	7	default	6.82	called	1429
before	7	default	6.82	mixed	4159
before	7	bytecode	10.31	arith	1449
before	7	bytecode	10.31	elem	3128
before	7	bytecode	10.31	called	3145
before	7	bytecode	10.31	mixed	3708

# Final paired comparison, alternating detached current main (1c9becc) with
# the whole-Vec pool plus an always-inlined dispatch loop (1688d93). Both use
# --bytecode and the benchmark protocol's fast-CPU set, 0-3,12-15.
# phase	run	build	loadavg1	variant	milliseconds
paired	1	main	5.94	arith	722
paired	1	main	5.94	elem	1296
paired	1	main	5.94	called	1264
paired	1	main	5.94	mixed	1861
paired	1	pool-inline	5.87	arith	680
paired	1	pool-inline	5.87	elem	1316
paired	1	pool-inline	5.87	called	1334
paired	1	pool-inline	5.87	mixed	2343
paired	2	main	5.80	arith	847
paired	2	main	5.80	elem	1386
paired	2	main	5.80	called	1240
paired	2	main	5.80	mixed	1904
paired	2	pool-inline	5.57	arith	671
paired	2	pool-inline	5.57	elem	1360
paired	2	pool-inline	5.57	called	1204
paired	2	pool-inline	5.57	mixed	1844
paired	3	main	5.45	arith	694
paired	3	main	5.45	elem	1298
paired	3	main	5.45	called	1202
paired	3	main	5.45	mixed	1880
paired	3	pool-inline	5.25	arith	697
paired	3	pool-inline	5.25	elem	1284
paired	3	pool-inline	5.25	called	1173
paired	3	pool-inline	5.25	mixed	1844
paired	4	main	5.07	arith	683
paired	4	main	5.07	elem	1257
paired	4	main	5.07	called	1233
paired	4	main	5.07	mixed	1979
paired	4	pool-inline	4.98	arith	820
paired	4	pool-inline	4.98	elem	1607
paired	4	pool-inline	4.98	called	1470
paired	4	pool-inline	4.98	mixed	2424
paired	5	main	4.99	arith	906
paired	5	main	4.99	elem	1619
paired	5	main	4.99	called	1562
paired	5	main	4.99	mixed	2421
paired	5	pool-inline	4.99	arith	825
paired	5	pool-inline	4.99	elem	1731
paired	5	pool-inline	4.99	called	1463
paired	5	pool-inline	4.99	mixed	2097
paired	6	main	4.83	arith	810
paired	6	main	4.83	elem	1439
paired	6	main	4.83	called	1270
paired	6	main	4.83	mixed	1987
paired	6	pool-inline	4.69	arith	805
paired	6	pool-inline	4.69	elem	1401
paired	6	pool-inline	4.69	called	1188
paired	6	pool-inline	4.69	mixed	1964
paired	7	main	4.63	arith	683
paired	7	main	4.63	elem	1320
paired	7	main	4.63	called	1252
paired	7	main	4.63	mixed	2304
paired	7	pool-inline	4.74	arith	820
paired	7	pool-inline	4.74	elem	1769
paired	7	pool-inline	4.74	called	1644
paired	7	pool-inline	4.74	mixed	2547
