operation	mode	rep	iters	total_ms	ms_per_op
scalarMult.base	default	1	5	14911	2982.20
scalarMult.base	bytecode	1	5	14867	2973.40
scalarMult.base	default	2	5	16083	3216.60
scalarMult.base	bytecode	2	5	16900	3380.00
scalarMult.base	default	3	5	15485	3097.00
scalarMult.base	bytecode	3	5	14972	2994.40
scalarMult	default	1	5	15051	3010.20
scalarMult	bytecode	1	5	14889	2977.80
scalarMult	default	2	5	15609	3121.80
scalarMult	bytecode	2	5	17485	3497.00
scalarMult	default	3	5	15444	3088.80
scalarMult	bytecode	3	5	16704	3340.80
sign.detached.verify	default	1	3	34565	11521.67
sign.detached.verify	bytecode	1	3	34979	11659.67
sign.detached.verify	default	2	3	34176	11392.00
sign.detached.verify	bytecode	2	3	30338	10112.67
sign.detached.verify	default	3	3	32502	10834.00
sign.detached.verify	bytecode	3	3	35946	11982.00
sign.detached	default	1	3	15554	5184.67
sign.detached	bytecode	1	3	15572	5190.67
sign.detached	default	2	3	15782	5260.67
sign.detached	bytecode	2	3	15897	5299.00
sign.detached	default	3	3	15859	5286.33
sign.detached	bytecode	3	3	17487	5829.00
hash	default	1	150	10829	72.19
hash	bytecode	1	150	11658	77.72
hash	default	2	150	11937	79.58
hash	bytecode	2	150	11607	77.38
hash	default	3	150	12336	82.24
hash	bytecode	3	150	12531	83.54
hash	default	4	150	10557	70.38
hash	bytecode	4	150	11522	76.81
hash	default	5	150	10522	70.15
hash	bytecode	5	150	10111	67.41
secretbox.open	default	1	150	5120	34.13
secretbox.open	bytecode	1	150	5207	34.71
secretbox.open	default	2	150	5742	38.28
secretbox.open	bytecode	2	150	6303	42.02
secretbox.open	default	3	150	5288	35.25
secretbox.open	bytecode	3	150	5039	33.59
secretbox.open	default	4	150	5113	34.09
secretbox.open	bytecode	4	150	5071	33.81
secretbox.open	default	5	150	5181	34.54
secretbox.open	bytecode	5	150	5117	34.11
